date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,253.983,253.42,254.09,09:30 AM,253.42,09:30,30732.01,4,254.09,121
2019-11-01,252.76,252.76,252.76,09:31 AM,252.76,09:31,25276.0,1,252.76,100
2019-11-01,253.41,253.41,253.41,09:32 AM,253.41,09:32,1013.64,1,253.41,4
2019-11-01,253.058,253.08,253.08,09:33 AM,253.035,09:33,38464.74,2,253.035,152
2019-11-01,253.373,253.37,253.52,09:34 AM,253.37,09:34,25844.04,2,253.52,102
2019-11-01,254.072,254.12,254.12,09:35 AM,254.0,09:35,64280.36,2,254.0,253
2019-11-01,254.56799999999998,254.33,254.8,09:36 AM,254.33,09:36,57277.88,3,254.72,225
2019-11-01,254.245,254.02,254.47,09:37 AM,254.02,09:37,50849.0,2,254.47,200
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,254.317,254.29,254.48,09:39 AM,254.29,09:39,178022.0,3,254.48,700
2019-11-01,254.34400000000002,254.42,254.42,09:40 AM,254.295,09:40,64349.135,2,254.295,253
2019-11-01,254.2,254.2,254.2,09:41 AM,254.2,09:41,25420.0,2,254.2,100
2019-11-01,254.13,254.13,254.13,09:42 AM,254.13,09:42,25413.0,1,254.13,100
2019-11-01,254.058,253.955,254.11,09:43 AM,253.955,09:43,76217.5,3,254.11,300
2019-11-01,253.90099999999998,253.895,254.07,09:44 AM,253.89,09:44,127204.57,5,254.07,501
2019-11-01,254.02,254.02,254.02,09:45 AM,254.02,09:45,25402.0,1,254.02,100
2019-11-01,254.125,254.12,254.145,09:46 AM,254.11,09:46,76491.61,4,254.11,301
2019-11-01,254.64,254.64,254.64,09:47 AM,254.64,09:47,36413.52,4,254.64,143
2019-11-01,254.701,254.735,254.735,09:48 AM,254.65,09:48,70806.955,3,254.65,278
2019-11-01,254.831,254.84,254.84,09:49 AM,254.65,09:49,26757.25,4,254.65,105
2019-11-01,255.014,255.2,255.2,09:50 AM,254.99,09:50,56103.0,3,254.99,220
2019-11-01,255.545,255.54,255.55,09:51 AM,255.54,09:51,51109.0,4,255.55,200
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,255.245,255.245,255.245,09:53 AM,255.245,09:53,25524.5,1,255.245,100
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,255.862,255.695,256.11,09:55 AM,255.695,09:55,81875.7,4,256.11,320
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,254.595,254.595,254.595,09:57 AM,254.595,09:57,25459.5,1,254.595,100
2019-11-01,254.77,254.76,254.79,09:58 AM,254.76,09:58,106493.82,8,254.77,418
2019-11-01,254.864,255.12,255.12,09:59 AM,254.78,09:59,33896.96,2,254.78,133
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,255.75,255.75,255.75,10:01 AM,255.75,10:01,25575.0,1,255.75,100
2019-11-01,255.75,255.75,255.75,10:02 AM,255.75,10:02,22506.0,1,255.75,88
2019-11-01,255.697,255.53,255.85,10:03 AM,255.53,10:03,102279.0,4,255.85,400
2019-11-01,255.85,255.85,255.85,10:04 AM,255.85,10:04,25585.0,1,255.85,100
2019-11-01,255.67,255.67,255.67,10:05 AM,255.67,10:05,25567.0,1,255.67,100
