date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0.0,,0.0
2019-11-01,136.22,136.22,136.22,09:31 AM,136.22,09:31,953.54,1.0,136.22,7.0
2019-11-01,135.85,135.85,135.85,09:32 AM,135.85,09:32,815.1,1.0,135.85,6.0
2019-11-01,135.635,135.635,135.635,09:33 AM,135.635,09:33,27127.0,1.0,135.635,200.0
2019-11-01,135.923,135.905,136.33,09:34 AM,135.905,09:34,14815.67,3.0,135.97,109.0
2019-11-01,136.246,135.83,136.25,09:35 AM,135.83,09:35,13760.83,2.0,136.25,101.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,136.375,136.14,136.41,09:37 AM,136.125,09:37,29184.325,8.0,136.125,214.0
2019-11-01,136.39600000000002,136.27,136.4,09:38 AM,136.14,09:38,13912.41,3.0,136.14,102.0
2019-11-01,136.241,135.805,136.37,09:39 AM,135.805,09:39,18528.805,5.0,136.37,136.0
2019-11-01,135.92700000000002,135.93,135.93,09:40 AM,135.845,09:40,8835.285,5.0,135.845,65.0
2019-11-01,135.74200000000002,135.61,135.78,09:41 AM,135.61,09:41,72079.17,9.0,135.685,531.0
2019-11-01,135.621,135.775,135.775,09:42 AM,135.62,09:42,13697.775,2.0,135.62,101.0
2019-11-01,135.672,135.67,135.795,09:43 AM,135.67,09:43,78282.675,5.0,135.795,577.0
2019-11-01,135.841,135.9,135.9,09:44 AM,135.79,09:44,679.205,5.0,135.79,5.0
2019-11-01,136.01,136.01,136.01,09:45 AM,136.01,09:45,272.02,1.0,136.01,2.0
2019-11-01,136.08,136.08,136.08,09:46 AM,136.08,09:46,272.16,1.0,136.08,2.0
2019-11-01,135.937,135.94,135.94,09:47 AM,135.935,09:47,407.81,2.0,135.935,3.0
2019-11-01,135.94,135.94,135.94,09:48 AM,135.94,09:48,13594.0,1.0,135.94,100.0
2019-11-01,136.043,136.075,136.075,09:49 AM,135.915,09:49,2040.64,3.0,135.915,15.0
2019-11-01,136.171,136.115,136.18,09:50 AM,136.11,09:50,15659.69,5.0,136.11,115.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,,,,09:52 AM,,09:52,0.0,0.0,,0.0
2019-11-01,135.99,135.99,135.99,09:53 AM,135.99,09:53,407.97,2.0,135.99,3.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,136.259,136.27,136.27,09:56 AM,136.18,09:56,13625.92,2.0,136.18,100.0
2019-11-01,136.322,136.295,136.35,09:57 AM,136.195,09:57,41714.49,7.0,136.195,306.0
2019-11-01,136.516,136.67,136.67,09:58 AM,136.5,09:58,16108.935,5.0,136.5,118.0
2019-11-01,,,,09:59 AM,,09:59,0.0,0.0,,0.0
2019-11-01,136.583,136.53,136.64,10 AM,136.48,10:00,31004.445,7.0,136.54,227.0
2019-11-01,136.42600000000002,136.645,136.71,10:01 AM,136.39,10:01,10914.1,8.0,136.505,80.0
2019-11-01,137.078,137.12,137.12,10:02 AM,136.72,10:02,30294.31,7.0,136.72,221.0
2019-11-01,137.23,137.2,137.315,10:03 AM,137.07,10:03,42129.575,7.0,137.07,307.0
2019-11-01,137.24200000000002,137.14,137.34,10:04 AM,137.14,10:04,71366.045,13.0,137.275,520.0
2019-11-01,137.379,137.38,137.38,10:05 AM,137.265,10:05,13737.885,2.0,137.265,100.0
2019-11-01,137.326,137.34,137.355,10:06 AM,137.3,10:06,1373.255,3.0,137.355,10.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,137.359,137.255,137.445,10:08 AM,137.255,10:08,26922.43,6.0,137.385,196.0
2019-11-01,137.207,137.21,137.21,10:09 AM,137.145,10:09,30734.415,3.0,137.145,224.0
2019-11-01,137.2,137.235,137.235,10:10 AM,137.14,10:10,56114.64,7.0,137.14,409.0
2019-11-01,137.252,137.34,137.34,10:11 AM,137.16,10:11,429600.27,30.0,137.25,3130.0
