date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,180.37099999999998,179.835,180.6,09:30 AM,179.835,09:30,306630.5,17,180.495,1700
2019-11-01,180.12,180.14,180.215,09:31 AM,179.99,09:31,108072.0,7,180.215,600
2019-11-01,180.141,179.965,180.315,09:32 AM,179.965,09:32,36568.63,3,180.315,203
2019-11-01,179.99,179.91,180.04,09:33 AM,179.91,09:33,56877.0,6,180.02,316
2019-11-01,179.88,179.85,179.99,09:34 AM,179.85,09:34,21405.69,3,179.99,119
2019-11-01,179.986,179.985,180.025,09:35 AM,179.945,09:35,9539.245,3,180.025,53
2019-11-01,179.97299999999996,179.97,179.99,09:36 AM,179.97,09:36,19617.09,2,179.99,109
2019-11-01,180.05900000000003,180.06,180.06,09:37 AM,180.03,09:37,40693.29,6,180.06,226
2019-11-01,179.983,179.96,180.03,09:38 AM,179.96,09:38,53995.0,4,180.03,300
2019-11-01,180.14,180.14,180.14,09:39 AM,180.14,09:39,18014.0,1,180.14,100
2019-11-01,180.149,180.17,180.17,09:40 AM,180.08,09:40,21798.04,3,180.08,121
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,180.354,180.41,180.41,09:42 AM,180.31,09:42,72141.5,4,180.36,400
2019-11-01,180.446,180.43,180.48,09:43 AM,180.43,09:43,81020.3,6,180.48,449
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,180.389,180.385,180.405,09:45 AM,180.385,09:45,90194.5,2,180.405,500
2019-11-01,180.34900000000002,180.345,180.35,09:46 AM,180.345,09:46,21100.865,2,180.35,117
2019-11-01,180.327,180.33,180.33,09:47 AM,180.325,09:47,36065.5,2,180.325,200
2019-11-01,180.375,180.375,180.375,09:48 AM,180.375,09:48,3066.375,1,180.375,17
2019-11-01,180.345,180.345,180.345,09:49 AM,180.345,09:49,18034.5,1,180.345,100
2019-11-01,180.34400000000002,180.34,180.35,09:50 AM,180.28,09:50,36790.12,3,180.28,204
2019-11-01,180.29,180.29,180.29,09:51 AM,180.29,09:51,18029.0,1,180.29,100
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,180.395,180.395,180.395,09:53 AM,180.395,09:53,18039.5,1,180.395,100
2019-11-01,180.58700000000002,180.65,180.65,09:54 AM,180.54,09:54,54176.0,3,180.54,300
2019-11-01,180.52,180.5,180.54,09:55 AM,180.5,09:55,36104.0,2,180.54,200
2019-11-01,180.454,180.365,180.5,09:56 AM,180.365,09:56,270680.5,11,180.47,1500
2019-11-01,180.42700000000002,180.355,180.45,09:57 AM,180.355,09:57,36085.375,3,180.42,200
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,180.407,180.46,180.46,09:59 AM,180.38,09:59,54122.0,3,180.38,300
2019-11-01,180.292,180.295,180.295,10 AM,180.29,10:00,37500.86,2,180.29,208
2019-11-01,180.52,180.52,180.52,10:01 AM,180.52,10:01,18052.0,1,180.52,100
2019-11-01,180.66,180.66,180.66,10:02 AM,180.66,10:02,18066.0,2,180.66,100
2019-11-01,180.813,180.83,180.83,10:03 AM,180.78,10:03,27122.0,2,180.78,150
2019-11-01,180.83700000000002,180.78,180.845,10:04 AM,180.78,10:04,144669.5,2,180.845,800
2019-11-01,181.02599999999998,181.09,181.09,10:05 AM,181.02,10:05,9956.45,2,181.02,55
2019-11-01,181.205,181.205,181.205,10:06 AM,181.205,10:06,18120.5,1,181.205,100
2019-11-01,181.21400000000003,181.21,181.22,10:07 AM,181.21,10:07,45303.5,3,181.22,250
2019-11-01,181.15599999999998,181.16,181.18,10:08 AM,181.13,10:08,72462.5,4,181.155,400
2019-11-01,181.16299999999998,181.155,181.185,10:09 AM,181.155,10:09,307977.5,12,181.17,1700
2019-11-01,181.153,181.2,181.2,10:10 AM,181.135,10:10,72823.4,5,181.165,402
2019-11-01,181.162,181.16,181.18,10:11 AM,181.15,10:11,117755.5,4,181.18,650
2019-11-01,181.108,181.11,181.11,10:12 AM,181.1,10:12,22638.5,2,181.1,125
2019-11-01,181.06900000000002,181.08,181.085,10:13 AM,181.05,10:13,90534.5,4,181.05,500
2019-11-01,181.01,181.04,181.04,10:14 AM,180.995,10:14,54303.0,2,180.995,300
2019-11-01,181.1,181.085,181.12,10:15 AM,181.085,10:15,39298.595,4,181.12,217
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,180.821,180.84,180.84,10:17 AM,180.78,10:17,32547.735,4,180.78,180
2019-11-01,180.8,180.8,180.8,10:18 AM,180.8,10:18,18080.0,1,180.8,100
2019-11-01,180.868,181.05,181.05,10:19 AM,180.845,10:19,36354.55,4,180.845,201
2019-11-01,180.886,180.805,180.935,10:20 AM,180.805,10:20,49743.625,3,180.935,275
2019-11-01,180.852,180.82,180.86,10:21 AM,180.82,10:21,45213.0,2,180.86,250
2019-11-01,180.83,180.83,180.83,10:22 AM,180.83,10:22,9041.5,1,180.83,50
2019-11-01,180.86,180.86,180.86,10:23 AM,180.86,10:23,18086.0,1,180.86,100
2019-11-01,180.67,180.67,180.67,10:24 AM,180.67,10:24,18067.0,1,180.67,100
2019-11-01,180.605,180.605,180.605,10:25 AM,180.605,10:25,18060.5,1,180.605,100
2019-11-01,180.6,180.6,180.6,10:26 AM,180.6,10:26,18060.0,1,180.6,100
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
