date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,121.685,121.685,121.685,09:31 AM,121.685,09:31,12168.5,1,121.685,100
2019-11-01,121.97,121.83,122.04,09:32 AM,121.83,09:32,36591.0,3,122.04,300
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,122.26899999999999,122.085,122.28,09:35 AM,122.085,09:35,12960.51,2,122.28,106
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,122.095,122.095,122.095,09:38 AM,122.095,09:38,36628.5,1,122.095,300
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,122.16,122.16,122.16,09:42 AM,122.16,09:42,36648.0,2,122.16,300
2019-11-01,122.711,122.89,122.89,09:43 AM,122.325,09:43,86634.175,6,122.325,706
2019-11-01,123.04,123.04,123.04,09:44 AM,123.04,09:44,615.2,1,123.04,5
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,123.285,123.285,123.285,09:48 AM,123.275,09:48,24903.56,3,123.275,202
2019-11-01,123.285,123.285,123.285,09:49 AM,123.285,09:49,123.285,1,123.285,1
2019-11-01,123.70299999999999,123.78,123.78,09:50 AM,123.38,09:50,24864.38,3,123.38,201
2019-11-01,124.045,124.045,124.045,09:51 AM,124.045,09:51,124.045,1,124.045,1
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,123.79,123.79,123.79,09:53 AM,123.79,09:53,12379.0,1,123.79,100
2019-11-01,123.81,123.81,123.81,09:54 AM,123.81,09:54,24762.0,1,123.81,200
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,123.601,123.6,123.67,09:56 AM,123.6,09:56,24967.34,2,123.67,202
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,123.53200000000001,123.63,123.63,09:59 AM,123.505,09:59,61766.0,3,123.51,500
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,123.615,123.615,123.615,10:03 AM,123.615,10:03,24723.0,1,123.615,200
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,,,,10:05 AM,,10:05,0.0,0,,0
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,,,,10:09 AM,,10:09,0.0,0,,0
2019-11-01,123.588,123.61,123.61,10:10 AM,123.565,10:10,24717.5,2,123.565,200
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,123.58,123.58,123.58,10:12 AM,123.58,10:12,8279.86,2,123.58,67
2019-11-01,123.514,123.54,123.54,10:13 AM,123.415,10:13,24826.415,4,123.415,201
2019-11-01,123.545,123.545,123.545,10:14 AM,123.545,10:14,12354.5,1,123.545,100
2019-11-01,123.507,123.51,123.52,10:15 AM,123.46,10:15,74104.5,4,123.515,600
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,123.91,123.91,123.91,10:19 AM,123.91,10:19,24782.0,1,123.91,200
2019-11-01,123.97,123.97,123.97,10:20 AM,123.97,10:20,619.85,1,123.97,5
2019-11-01,123.96,123.96,123.96,10:21 AM,123.96,10:21,37188.0,1,123.96,300
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,123.905,123.905,123.905,10:24 AM,123.905,10:24,247.81,1,123.905,2
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,,,,10:32 AM,,10:32,0.0,0,,0
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,,,,10:34 AM,,10:34,0.0,0,,0
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,123.78200000000001,123.79,123.79,10:37 AM,123.775,10:37,24756.5,2,123.775,200
2019-11-01,123.78,123.78,123.78,10:38 AM,123.78,10:38,12749.34,1,123.78,103
2019-11-01,,,,10:39 AM,,10:39,0.0,0,,0
2019-11-01,123.885,123.885,123.885,10:40 AM,123.885,10:40,24777.0,1,123.885,200
2019-11-01,123.915,123.95,123.95,10:41 AM,123.88,10:41,24783.0,2,123.88,200
2019-11-01,123.87,123.87,123.87,10:42 AM,123.87,10:42,990.96,1,123.87,8
2019-11-01,123.84,123.84,123.84,10:43 AM,123.84,10:43,12384.0,2,123.84,100
2019-11-01,123.764,123.765,123.765,10:44 AM,123.755,10:44,7673.38,2,123.755,62
2019-11-01,123.65,123.65,123.65,10:45 AM,123.65,10:45,12365.0,1,123.65,100
2019-11-01,,,,10:46 AM,,10:46,0.0,0,,0
2019-11-01,,,,10:47 AM,,10:47,0.0,0,,0
2019-11-01,123.411,123.51,123.51,10:48 AM,123.4,10:48,13822.085,3,123.505,112
2019-11-01,,,,10:49 AM,,10:49,0.0,0,,0
2019-11-01,,,,10:50 AM,,10:50,0.0,0,,0
2019-11-01,123.69,123.69,123.69,10:51 AM,123.69,10:51,4081.77,1,123.69,33
2019-11-01,123.725,123.725,123.725,10:52 AM,123.725,10:52,12372.5,1,123.725,100
2019-11-01,,,,10:53 AM,,10:53,0.0,0,,0
2019-11-01,,,,10:54 AM,,10:54,0.0,0,,0
2019-11-01,123.855,123.855,123.855,10:55 AM,123.855,10:55,12385.5,1,123.855,100
2019-11-01,,,,10:56 AM,,10:56,0.0,0,,0
2019-11-01,123.885,123.885,123.885,10:57 AM,123.885,10:57,12636.27,1,123.885,102
2019-11-01,123.84299999999999,123.77,123.91,10:58 AM,123.77,10:58,23777.84,2,123.91,192
2019-11-01,,,,10:59 AM,,10:59,0.0,0,,0
2019-11-01,,,,11 AM,,11:00,0.0,0,,0
2019-11-01,123.73,123.73,123.73,11:01 AM,123.73,11:01,12373.0,4,123.73,100
2019-11-01,,,,11:02 AM,,11:02,0.0,0,,0
2019-11-01,,,,11:03 AM,,11:03,0.0,0,,0
2019-11-01,,,,11:04 AM,,11:04,0.0,0,,0
2019-11-01,,,,11:05 AM,,11:05,0.0,0,,0
2019-11-01,123.825,123.825,123.825,11:06 AM,123.825,11:06,247.65,1,123.825,2
2019-11-01,,,,11:07 AM,,11:07,0.0,0,,0
2019-11-01,,,,11:08 AM,,11:08,0.0,0,,0
2019-11-01,,,,11:09 AM,,11:09,0.0,0,,0
2019-11-01,,,,11:10 AM,,11:10,0.0,0,,0
2019-11-01,124.11,124.11,124.11,11:11 AM,124.11,11:11,12411.0,1,124.11,100
2019-11-01,,,,11:12 AM,,11:12,0.0,0,,0
2019-11-01,123.977,123.97,123.99,11:13 AM,123.97,11:13,37193.09,3,123.99,300
2019-11-01,,,,11:14 AM,,11:14,0.0,0,,0
2019-11-01,,,,11:15 AM,,11:15,0.0,0,,0
2019-11-01,,,,11:16 AM,,11:16,0.0,0,,0
2019-11-01,,,,11:17 AM,,11:17,0.0,0,,0
2019-11-01,,,,11:18 AM,,11:18,0.0,0,,0
2019-11-01,,,,11:19 AM,,11:19,0.0,0,,0
2019-11-01,,,,11:20 AM,,11:20,0.0,0,,0
2019-11-01,,,,11:21 AM,,11:21,0.0,0,,0
2019-11-01,,,,11:22 AM,,11:22,0.0,0,,0
2019-11-01,,,,11:23 AM,,11:23,0.0,0,,0
2019-11-01,,,,11:24 AM,,11:24,0.0,0,,0
2019-11-01,,,,11:25 AM,,11:25,0.0,0,,0
2019-11-01,,,,11:26 AM,,11:26,0.0,0,,0
2019-11-01,,,,11:27 AM,,11:27,0.0,0,,0
2019-11-01,,,,11:28 AM,,11:28,0.0,0,,0
2019-11-01,,,,11:29 AM,,11:29,0.0,0,,0
2019-11-01,,,,11:30 AM,,11:30,0.0,0,,0
2019-11-01,124.00200000000001,124.01,124.01,11:31 AM,123.985,11:31,11160.15,2,123.985,90
2019-11-01,124.01,124.01,124.01,11:32 AM,124.01,11:32,4960.4,2,124.01,40
2019-11-01,,,,11:33 AM,,11:33,0.0,0,,0
2019-11-01,,,,11:34 AM,,11:34,0.0,0,,0
2019-11-01,,,,11:35 AM,,11:35,0.0,0,,0
2019-11-01,,,,11:36 AM,,11:36,0.0,0,,0
2019-11-01,,,,11:37 AM,,11:37,0.0,0,,0
2019-11-01,,,,11:38 AM,,11:38,0.0,0,,0
2019-11-01,,,,11:39 AM,,11:39,0.0,0,,0
2019-11-01,,,,11:40 AM,,11:40,0.0,0,,0
2019-11-01,124.0,124.0,124.0,11:41 AM,124.0,11:41,12400.0,1,124.0,100
2019-11-01,,,,11:42 AM,,11:42,0.0,0,,0
2019-11-01,,,,11:43 AM,,11:43,0.0,0,,0
2019-11-01,,,,11:44 AM,,11:44,0.0,0,,0
2019-11-01,,,,11:45 AM,,11:45,0.0,0,,0
2019-11-01,,,,11:46 AM,,11:46,0.0,0,,0
2019-11-01,,,,11:47 AM,,11:47,0.0,0,,0
2019-11-01,,,,11:48 AM,,11:48,0.0,0,,0
2019-11-01,,,,11:49 AM,,11:49,0.0,0,,0
2019-11-01,,,,11:50 AM,,11:50,0.0,0,,0
2019-11-01,,,,11:51 AM,,11:51,0.0,0,,0
2019-11-01,,,,11:52 AM,,11:52,0.0,0,,0
2019-11-01,123.94,123.94,123.94,11:53 AM,123.94,11:53,12394.0,1,123.94,100
2019-11-01,,,,11:54 AM,,11:54,0.0,0,,0
2019-11-01,,,,11:55 AM,,11:55,0.0,0,,0
2019-11-01,,,,11:56 AM,,11:56,0.0,0,,0
2019-11-01,,,,11:57 AM,,11:57,0.0,0,,0
2019-11-01,,,,11:58 AM,,11:58,0.0,0,,0
2019-11-01,,,,11:59 AM,,11:59,0.0,0,,0
2019-11-01,,,,12 PM,,12:00,0.0,0,,0
2019-11-01,,,,12:01 PM,,12:01,0.0,0,,0
