date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,82.814,82.88,82.88,09:30 AM,82.65,09:30,11594.0,2,82.65,140
2019-11-01,83.305,83.4,83.4,09:31 AM,83.21,09:31,16661.0,3,83.21,200
2019-11-01,83.395,83.395,83.395,09:32 AM,83.395,09:32,8339.5,1,83.395,100
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,83.25,83.25,83.25,09:34 AM,83.25,09:34,8325.0,1,83.25,100
2019-11-01,83.23,83.23,83.23,09:35 AM,83.23,09:35,332.92,1,83.23,4
2019-11-01,83.234,83.25,83.25,09:36 AM,83.195,09:36,499.405,3,83.195,6
2019-11-01,83.046,83.11,83.27,09:37 AM,83.04,09:37,8719.87,4,83.27,105
2019-11-01,83.07600000000002,83.08,83.08,09:38 AM,83.055,09:38,498.455,3,83.055,6
2019-11-01,83.219,83.22,83.22,09:39 AM,83.215,09:39,1081.85,5,83.215,13
2019-11-01,83.16799999999998,83.05,83.27,09:40 AM,83.05,09:40,29192.175,10,83.245,351
2019-11-01,83.095,83.095,83.095,09:41 AM,83.095,09:41,83.095,1,83.095,1
2019-11-01,83.029,83.01,83.06,09:42 AM,83.0,09:42,913.315,7,83.06,11
2019-11-01,83.03299999999999,83.06,83.065,09:43 AM,83.01,09:43,664.265,4,83.01,8
2019-11-01,83.03299999999999,83.04,83.055,09:44 AM,83.01,09:44,1660.66,9,83.04,20
2019-11-01,83.005,83.005,83.005,09:45 AM,83.005,09:45,83.005,1,83.005,1
2019-11-01,83.035,83.03,83.035,09:46 AM,83.03,09:46,8386.53,2,83.035,101
2019-11-01,83.014,82.97,83.025,09:47 AM,82.97,09:47,415.07,2,83.025,5
2019-11-01,82.87899999999998,82.87,82.99,09:48 AM,82.87,09:48,9033.81,5,82.99,109
2019-11-01,82.785,82.815,82.84,09:49 AM,82.78,09:49,9106.33,5,82.83,110
2019-11-01,82.86,82.82,82.86,09:50 AM,82.82,09:50,9363.14,4,82.86,113
2019-11-01,82.81,82.75,82.83,09:51 AM,82.75,09:51,331.24,3,82.83,4
2019-11-01,82.741,82.72,82.77,09:52 AM,82.71,09:52,2316.75,5,82.74,28
2019-11-01,82.76299999999998,82.785,82.785,09:53 AM,82.64,09:53,827.625,3,82.64,10
2019-11-01,82.86200000000002,82.93,82.93,09:54 AM,82.78,09:54,50048.83,8,82.78,604
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,82.93799999999997,82.94,82.94,09:56 AM,82.93,09:56,1575.82,2,82.93,19
2019-11-01,82.985,82.96,83.0,09:57 AM,82.96,09:57,41492.5,5,82.975,500
2019-11-01,82.98,82.98,82.98,09:58 AM,82.98,09:58,746.82,1,82.98,9
2019-11-01,82.906,82.93,82.96,09:59 AM,82.885,09:59,249050.1,6,82.9,3004
2019-11-01,82.875,82.885,82.93,10 AM,82.83,10:00,92654.445,7,82.93,1118
2019-11-01,82.961,82.98,82.98,10:01 AM,82.84,10:01,11863.415,6,82.84,143
2019-11-01,83.042,83.065,83.065,10:02 AM,82.995,10:02,24912.5,3,82.995,300
2019-11-01,83.124,83.15,83.15,10:03 AM,83.07,10:03,25934.8,5,83.07,312
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,83.137,83.15,83.15,10:05 AM,83.13,10:05,24941.0,3,83.13,300
2019-11-01,83.208,83.22,83.23,10:06 AM,83.17,10:06,17307.21,4,83.17,208
2019-11-01,83.22,83.22,83.22,10:07 AM,83.22,10:07,83.22,1,83.22,1
2019-11-01,83.22,83.22,83.22,10:08 AM,83.22,10:08,8322.0,1,83.22,100
2019-11-01,83.23,83.23,83.23,10:09 AM,83.23,10:09,166.46,1,83.23,2
2019-11-01,83.23299999999998,83.225,83.24,10:10 AM,83.225,10:10,25053.225,4,83.24,301
