date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-12-05,41.174,41.06,41.24,09:30 AM,41.0,09:30,45291.0,9,41.23,1100
2019-12-05,41.24,41.24,41.24,09:31 AM,41.24,09:31,12372.0,3,41.24,300
2019-12-05,41.178999999999995,41.12,41.215,09:32 AM,41.12,09:32,271781.0,12,41.215,6600
2019-12-05,41.153,41.16,41.16,09:33 AM,41.14,09:33,12346.0,2,41.14,300
2019-12-05,41.13800000000001,41.13,41.145,09:34 AM,41.13,09:34,32910.0,4,41.145,800
2019-12-05,40.928000000000004,40.88,41.1,09:35 AM,40.88,09:35,28650.0,3,41.1,700
2019-12-05,40.88,40.88,40.88,09:36 AM,40.88,09:36,40.88,1,40.88,1
2019-12-05,40.939,41.005,41.005,09:37 AM,40.865,09:37,81100.03,21,40.865,1981
2019-12-05,41.063,41.065,41.085,09:38 AM,41.035,09:38,68246.54,11,41.035,1662
2019-12-05,41.068999999999996,41.05,41.08,09:39 AM,41.05,09:39,25791.485,8,41.07,628
2019-12-05,41.07,41.07,41.07,09:40 AM,41.07,09:40,20535.0,4,41.07,500
2019-12-05,41.1,41.1,41.1,09:41 AM,41.1,09:41,4110.0,1,41.1,100
2019-12-05,41.093,41.095,41.095,09:42 AM,41.09,09:42,8218.5,2,41.09,200
2019-12-05,,,,09:43 AM,,09:43,0.0,0,,0
2019-12-05,40.926,40.895,41.0,09:44 AM,40.895,09:44,94131.0,6,41.0,2300
2019-12-05,40.83,40.82,40.86,09:45 AM,40.81,09:45,57162.0,7,40.86,1400
2019-12-05,40.925,41.025,41.025,09:46 AM,40.86,09:46,28647.5,7,40.86,700
2019-12-05,41.005,41.0,41.03,09:47 AM,41.0,09:47,114815.0,11,41.03,2800
2019-12-05,41.00899999999999,41.01,41.01,09:48 AM,41.0,09:48,71970.55,10,41.01,1755
2019-12-05,41.12300000000001,41.11,41.13,09:49 AM,41.11,09:49,12337.0,3,41.13,300
2019-12-05,41.115,41.135,41.135,09:50 AM,41.09,09:50,542718.5,11,41.09,13200
2019-12-05,41.136,41.13,41.14,09:51 AM,41.13,09:51,41135.5,5,41.14,1000
2019-12-05,41.143,41.145,41.145,09:52 AM,41.135,09:52,123428.5,12,41.135,3000
2019-12-05,41.172,41.205,41.205,09:53 AM,41.145,09:53,85802.43,18,41.145,2084
2019-12-05,40.996,41.03,41.08,09:54 AM,40.97,09:54,131187.5,16,41.08,3200
2019-12-05,40.973,41.0,41.0,09:55 AM,40.93,09:55,85838.25,12,40.95,2095
2019-12-05,40.99,40.99,41.01,09:56 AM,40.99,09:56,561565.0,4,41.01,13700
2019-12-05,40.968,40.91,40.98,09:57 AM,40.91,09:57,55470.875,4,40.98,1354
2019-12-05,40.766,40.765,40.81,09:58 AM,40.75,09:58,43049.0,6,40.81,1056
2019-12-05,40.709,40.72,40.72,09:59 AM,40.7,09:59,28496.0,6,40.72,700
2019-12-05,40.733000000000004,40.73,40.75,10 AM,40.71,10:00,57026.0,12,40.75,1400
2019-12-05,40.7,40.7,40.7,10:01 AM,40.7,10:01,4070.0,1,40.7,100
2019-12-05,40.626999999999995,40.565,40.705,10:02 AM,40.56,10:02,98560.98,19,40.705,2426
2019-12-05,40.578,40.57,40.59,10:03 AM,40.57,10:03,52751.5,12,40.575,1300
2019-12-05,40.54,40.53,40.565,10:04 AM,40.52,10:04,32918.22,8,40.56,812
2019-12-05,40.528,40.515,40.53,10:05 AM,40.515,10:05,28369.5,7,40.53,700
2019-12-05,40.516999999999996,40.575,40.575,10:06 AM,40.5,10:06,85085.0,19,40.5,2100
2019-12-05,40.6,40.6,40.6,10:07 AM,40.6,10:07,28420.0,5,40.6,700
2019-12-05,40.585,40.585,40.585,10:08 AM,40.585,10:08,8117.0,1,40.585,200
2019-12-05,40.465,40.44,40.51,10:09 AM,40.43,10:09,14365.05,4,40.5,355
2019-12-05,40.457,40.5,40.5,10:10 AM,40.44,10:10,24274.0,4,40.44,600
2019-12-05,40.52,40.52,40.52,10:11 AM,40.52,10:11,8104.0,2,40.52,200
2019-12-05,40.57,40.57,40.58,10:12 AM,40.55,10:12,32456.0,7,40.58,800
2019-12-05,40.548,40.545,40.56,10:13 AM,40.545,10:13,41034.72,7,40.56,1012
2019-12-05,40.545,40.555,40.555,10:14 AM,40.545,10:14,74238.895,5,40.545,1831
2019-12-05,40.51300000000001,40.515,40.515,10:15 AM,40.51,10:15,12154.0,2,40.51,300
2019-12-05,40.51,40.56,40.56,10:16 AM,40.505,10:16,490124.48,11,40.505,12099
2019-12-05,40.56,40.56,40.56,10:17 AM,40.56,10:17,4056.0,1,40.56,100
2019-12-05,40.48,40.48,40.49,10:18 AM,40.47,10:18,12144.0,3,40.49,300
2019-12-05,40.495,40.51,40.51,10:19 AM,40.47,10:19,73215.0,6,40.47,1808
2019-12-05,40.525999999999996,40.55,40.55,10:20 AM,40.51,10:20,32421.0,8,40.51,800
2019-12-05,40.51,40.49,40.53,10:21 AM,40.49,10:21,8102.0,2,40.53,200
2019-12-05,40.505,40.5,40.515,10:22 AM,40.5,10:22,36454.5,6,40.5,900
2019-12-05,40.508,40.51,40.51,10:23 AM,40.505,10:23,28801.11,7,40.505,711
2019-12-05,40.495,40.485,40.515,10:24 AM,40.485,10:24,12148.5,2,40.515,300
2019-12-05,40.446,40.44,40.45,10:25 AM,40.44,10:25,9342.94,4,40.45,231
2019-12-05,,,,10:26 AM,,10:26,0.0,0,,0
2019-12-05,40.384,40.385,40.385,10:27 AM,40.38,10:27,24230.5,2,40.38,600
2019-12-05,40.355,40.355,40.355,10:28 AM,40.355,10:28,4035.5,1,40.355,100
2019-12-05,40.374,40.385,40.385,10:29 AM,40.365,10:29,32299.29,8,40.365,800
2019-12-05,40.39,40.39,40.39,10:30 AM,40.39,10:30,8078.0,2,40.39,200
2019-12-05,40.445,40.445,40.445,10:31 AM,40.445,10:31,4044.5,1,40.445,100
2019-12-05,40.423,40.425,40.425,10:32 AM,40.42,10:32,6184.76,2,40.42,153
2019-12-05,40.424,40.425,40.425,10:33 AM,40.42,10:33,27165.1,6,40.42,672
2019-12-05,40.425,40.425,40.425,10:34 AM,40.425,10:34,5053.125,2,40.425,125
2019-12-05,40.418,40.41,40.425,10:35 AM,40.41,10:35,28616.27,4,40.425,708
2019-12-05,40.413000000000004,40.41,40.42,10:36 AM,40.41,10:36,12124.0,3,40.42,300
2019-12-05,,,,10:37 AM,,10:37,0.0,0,,0
