date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,65.2,65.2,65.2,09:30 AM,65.2,09:30,2738.4,1.0,65.2,42.0
2019-11-01,65.19,65.19,65.19,09:31 AM,65.19,09:31,6519.0,1.0,65.19,100.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,65.158,65.16,65.195,09:33 AM,65.12,09:33,19547.5,3.0,65.195,300.0
2019-11-01,65.095,65.045,65.195,09:34 AM,65.045,09:34,19528.5,3.0,65.195,300.0
2019-11-01,65.072,65.08,65.09,09:35 AM,65.045,09:35,19521.5,3.0,65.045,300.0
2019-11-01,,,,09:36 AM,,09:36,0.0,0.0,,0.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,65.15,65.15,65.15,09:38 AM,65.15,09:38,3648.4,1.0,65.15,56.0
2019-11-01,65.16,65.16,65.16,09:39 AM,65.16,09:39,6516.0,1.0,65.16,100.0
2019-11-01,65.192,65.23,65.23,09:40 AM,65.155,09:40,13038.5,4.0,65.155,200.0
2019-11-01,,,,09:41 AM,,09:41,0.0,0.0,,0.0
2019-11-01,65.19800000000001,65.195,65.2,09:42 AM,65.195,09:42,26079.0,2.0,65.2,400.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,,,,09:45 AM,,09:45,0.0,0.0,,0.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,,,,09:47 AM,,09:47,0.0,0.0,,0.0
2019-11-01,,,,09:48 AM,,09:48,0.0,0.0,,0.0
2019-11-01,,,,09:49 AM,,09:49,0.0,0.0,,0.0
2019-11-01,,,,09:50 AM,,09:50,0.0,0.0,,0.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,,,,09:52 AM,,09:52,0.0,0.0,,0.0
2019-11-01,,,,09:53 AM,,09:53,0.0,0.0,,0.0
2019-11-01,,,,09:54 AM,,09:54,0.0,0.0,,0.0
2019-11-01,65.11,65.11,65.11,09:55 AM,65.11,09:55,6511.0,1.0,65.11,100.0
