date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,60.994,61.06,61.06,09:31 AM,60.905,09:31,54894.5,7,61.04,900
2019-11-01,61.043,60.98,61.1,09:32 AM,60.96,09:32,157795.45,18,61.08,2585
2019-11-01,60.97,60.99,61.03,09:33 AM,60.94,09:33,89565.2,13,61.03,1469
2019-11-01,60.915,60.895,61.005,09:34 AM,60.88,09:34,49889.31,9,61.005,819
2019-11-01,60.851000000000006,60.9,60.92,09:35 AM,60.815,09:35,158212.0,21,60.9,2600
2019-11-01,60.907,60.89,60.96,09:36 AM,60.89,09:36,61638.14,8,60.895,1012
2019-11-01,60.82100000000001,60.765,60.895,09:37 AM,60.765,09:37,169873.295,18,60.895,2793
2019-11-01,60.773,60.79,60.81,09:38 AM,60.755,09:38,77364.27,12,60.755,1273
2019-11-01,60.8,60.8,60.8,09:39 AM,60.8,09:39,12160.0,1,60.8,200
2019-11-01,60.885,60.9,60.9,09:40 AM,60.85,09:40,75618.7,14,60.85,1242
2019-11-01,60.872,60.86,60.91,09:41 AM,60.855,09:41,219625.54,16,60.91,3608
2019-11-01,60.898999999999994,60.94,60.94,09:42 AM,60.88,09:42,80751.76,15,60.88,1326
2019-11-01,60.885,60.885,60.885,09:43 AM,60.885,09:43,6453.81,2,60.885,106
2019-11-01,60.839,60.83,60.85,09:44 AM,60.83,09:44,19711.92,4,60.85,324
2019-11-01,60.831,60.835,60.85,09:45 AM,60.815,09:45,61622.095,11,60.835,1013
2019-11-01,60.817,60.82,60.825,09:46 AM,60.81,09:46,43605.92,8,60.825,717
2019-11-01,60.82100000000001,60.83,60.83,09:47 AM,60.805,09:47,42574.5,6,60.805,700
2019-11-01,60.81399999999999,60.815,60.83,09:48 AM,60.8,09:48,6689.56,3,60.83,110
2019-11-01,60.8,60.79,60.805,09:49 AM,60.79,09:49,30400.0,4,60.805,500
2019-11-01,60.809,60.81,60.815,09:50 AM,60.8,09:50,18060.38,5,60.8,297
2019-11-01,60.79,60.78,60.8,09:51 AM,60.78,09:51,12279.56,3,60.8,202
2019-11-01,60.768,60.75,60.78,09:52 AM,60.75,09:52,35731.525,7,60.775,588
2019-11-01,60.757,60.745,60.77,09:53 AM,60.745,09:53,18227.0,3,60.755,300
2019-11-01,60.755,60.78,60.78,09:54 AM,60.72,09:54,30924.48,5,60.75,509
2019-11-01,60.77,60.8,60.8,09:55 AM,60.75,09:55,42539.0,8,60.77,700
2019-11-01,60.782,60.775,60.8,09:56 AM,60.775,09:56,36712.68,8,60.8,604
2019-11-01,60.706,60.71,60.78,09:57 AM,60.685,09:57,61312.75,12,60.775,1010
2019-11-01,60.673,60.675,60.71,09:58 AM,60.645,09:58,44109.06,11,60.71,727
2019-11-01,60.677,60.71,60.71,09:59 AM,60.67,09:59,118077.695,10,60.68,1946
2019-11-01,60.708999999999996,60.68,60.73,10 AM,60.67,10:00,55427.85,12,60.72,913
2019-11-01,60.68,60.69,60.69,10:01 AM,60.67,10:01,12136.0,2,60.67,200
2019-11-01,60.683,60.67,60.72,10:02 AM,60.66,10:02,39201.27,5,60.72,646
2019-11-01,60.698,60.71,60.71,10:03 AM,60.685,10:03,65492.93,10,60.685,1079
2019-11-01,60.655,60.64,60.665,10:04 AM,60.64,10:04,30327.5,3,60.665,500
2019-11-01,60.648,60.66,60.66,10:05 AM,60.64,10:05,54583.0,8,60.64,900
2019-11-01,60.655,60.64,60.68,10:06 AM,60.64,10:06,55256.35,14,60.67,911
2019-11-01,60.62300000000001,60.61,60.63,10:07 AM,60.61,10:07,18187.0,3,60.63,300
2019-11-01,60.619,60.625,60.63,10:08 AM,60.615,10:08,49586.17,8,60.615,818
2019-11-01,60.64100000000001,60.63,60.66,10:09 AM,60.63,10:09,31472.87,8,60.66,519
2019-11-01,60.629,60.62,60.635,10:10 AM,60.62,10:10,36377.495,7,60.635,600
2019-11-01,60.608000000000004,60.61,60.63,10:11 AM,60.595,10:11,33940.3,8,60.63,560
2019-11-01,60.597,60.6,60.6,10:12 AM,60.595,10:12,12119.5,2,60.595,200
2019-11-01,60.566,60.56,60.575,10:13 AM,60.56,10:13,57295.26,11,60.575,946
2019-11-01,60.566,60.565,60.58,10:14 AM,60.56,10:14,21198.01,6,60.58,350
2019-11-01,60.583999999999996,60.57,60.6,10:15 AM,60.57,10:15,62098.14,13,60.58,1025
2019-11-01,60.568999999999996,60.565,60.57,10:16 AM,60.565,10:16,20896.15,4,60.57,345
2019-11-01,60.536,60.53,60.555,10:17 AM,60.525,10:17,52061.055,10,60.555,860
2019-11-01,60.519,60.53,60.53,10:18 AM,60.51,10:18,36614.1,6,60.53,605
2019-11-01,60.528999999999996,60.515,60.53,10:19 AM,60.515,10:19,19490.195,6,60.53,322
2019-11-01,60.516999999999996,60.51,60.52,10:20 AM,60.51,10:20,18155.0,3,60.52,300
2019-11-01,60.523,60.53,60.53,10:21 AM,60.52,10:21,58828.035,7,60.52,972
2019-11-01,60.495,60.485,60.505,10:22 AM,60.485,10:22,18148.5,3,60.505,300
2019-11-01,60.475,60.465,60.485,10:23 AM,60.465,10:23,14574.565,4,60.485,241
2019-11-01,60.451,60.435,60.47,10:24 AM,60.435,10:24,38204.88,8,60.47,632
2019-11-01,60.45,60.415,60.46,10:25 AM,60.415,10:25,31373.385,5,60.455,519
2019-11-01,60.417,60.415,60.42,10:26 AM,60.415,10:26,62229.6,8,60.415,1030
2019-11-01,60.416000000000004,60.39,60.42,10:27 AM,60.39,10:27,121254.265,16,60.415,2007
2019-11-01,60.403,60.44,60.44,10:28 AM,60.39,10:28,36242.0,6,60.39,600
2019-11-01,60.425,60.425,60.425,10:29 AM,60.425,10:29,12991.375,2,60.425,215
2019-11-01,60.483999999999995,60.49,60.5,10:30 AM,60.465,10:30,64899.51,12,60.48,1073
2019-11-01,60.472,60.46,60.485,10:31 AM,60.46,10:31,22677.015,5,60.485,375
2019-11-01,60.482,60.48,60.49,10:32 AM,60.465,10:32,43546.9,10,60.465,720
2019-11-01,60.471000000000004,60.48,60.49,10:33 AM,60.455,10:33,74863.285,18,60.49,1238
2019-11-01,60.455,60.45,60.485,10:34 AM,60.44,10:34,467498.505,18,60.485,7733
2019-11-01,60.423,60.41,60.44,10:35 AM,60.41,10:35,42477.775,9,60.44,703
2019-11-01,60.398999999999994,60.385,60.43,10:36 AM,60.37,10:36,48319.5,7,60.42,800
