date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,,,09:30,,,,
2019-11-01,,,,,,09:31,,,,
2019-11-01,,,,,,09:32,,,,
2019-11-01,213.40099999999998,213.295,213.465,09:33 AM,213.295,09:33,73623.425,3.0,213.465,345.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,213.82,213.82,213.82,09:35 AM,213.82,09:35,21382.0,1.0,213.82,100.0
2019-11-01,214.35,214.27,214.74,09:36 AM,214.04,09:36,64305.0,3.0,214.74,300.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,214.702,214.45,214.85,09:39 AM,214.45,09:39,58184.35,3.0,214.85,271.0
2019-11-01,216.215,216.215,216.215,09:40 AM,216.215,09:40,21621.5,1.0,216.215,100.0
2019-11-01,,,,09:41 AM,,09:41,0.0,0.0,,0.0
2019-11-01,,,,09:42 AM,,09:42,0.0,0.0,,0.0
2019-11-01,,,,09:43 AM,,09:43,0.0,0.0,,0.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,216.929,216.98,216.98,09:45 AM,216.725,09:45,108464.5,4.0,216.725,500.0
2019-11-01,,,,09:46 AM,,09:46,0.0,0.0,,0.0
2019-11-01,,,,09:47 AM,,09:47,0.0,0.0,,0.0
2019-11-01,217.4,217.64,217.64,09:48 AM,217.28,09:48,65220.0,3.0,217.28,300.0
2019-11-01,217.605,217.6,217.61,09:49 AM,217.6,09:49,43521.07,3.0,217.61,200.0
2019-11-01,,,,09:50 AM,,09:50,0.0,0.0,,0.0
2019-11-01,,,,09:51 AM,,09:51,0.0,0.0,,0.0
2019-11-01,217.51,217.51,217.51,09:52 AM,217.51,09:52,21751.0,2.0,217.51,100.0
2019-11-01,217.51,217.51,217.51,09:53 AM,217.51,09:53,21751.0,1.0,217.51,100.0
