date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,94.295,94.295,94.295,09:33 AM,94.295,09:33,377.18,1,94.295,4
2019-11-01,94.36,94.36,94.36,09:34 AM,94.36,09:34,9436.0,1,94.36,100
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,94.27,94.27,94.27,09:38 AM,94.27,09:38,1131.24,1,94.27,12
2019-11-01,94.24799999999999,94.255,94.255,09:39 AM,94.165,09:39,35625.72,3,94.165,378
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,94.45,94.45,94.45,09:43 AM,94.45,09:43,94.45,1,94.45,1
2019-11-01,94.475,94.475,94.475,09:44 AM,94.475,09:44,283.425,1,94.475,3
2019-11-01,94.48,94.48,94.48,09:45 AM,94.48,09:45,188.96,1,94.48,2
2019-11-01,94.5,94.5,94.5,09:46 AM,94.5,09:46,189.0,1,94.5,2
2019-11-01,94.493,94.5,94.5,09:47 AM,94.485,09:47,18898.5,2,94.485,200
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,94.475,94.475,94.475,09:49 AM,94.475,09:49,472.375,1,94.475,5
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,94.45100000000001,94.48,94.48,09:51 AM,94.44,09:51,37780.5,4,94.445,400
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,94.355,94.355,94.355,10 AM,94.355,10:00,754.84,1,94.355,8
2019-11-01,94.3,94.3,94.3,10:01 AM,94.3,10:01,11693.2,2,94.3,124
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,94.18,94.18,94.18,10:03 AM,94.18,10:03,9418.0,1,94.18,100
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,94.1,94.1,94.1,10:05 AM,94.1,10:05,282.3,1,94.1,3
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,94.04,94.04,94.04,10:08 AM,94.04,10:08,9404.0,1,94.04,100
2019-11-01,94.16,94.16,94.16,10:09 AM,94.16,10:09,9416.0,1,94.16,100
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,94.06,94.06,94.06,10:12 AM,94.06,10:12,9406.0,1,94.06,100
2019-11-01,93.95,93.95,93.95,10:13 AM,93.95,10:13,9395.0,1,93.95,100
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,93.91,93.91,93.91,10:15 AM,93.91,10:15,18782.0,4,93.91,200
2019-11-01,93.905,93.905,93.905,10:16 AM,93.905,10:16,281.715,1,93.905,3
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,93.88799999999999,93.87,93.9,10:18 AM,93.87,10:18,93888.0,9,93.9,1000
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,93.785,93.785,93.785,10:21 AM,93.785,10:21,2532.195,1,93.785,27
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,,,,10:32 AM,,10:32,0.0,0,,0
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,93.94,93.94,93.94,10:34 AM,93.94,10:34,2348.5,1,93.94,25
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
