date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,52.155,52.155,52.155,09:30 AM,52.155,09:30,52.155,1,52.155,1
2019-11-01,52.153999999999996,52.15,52.16,09:31 AM,52.15,09:31,28945.21,5,52.155,555
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,52.16,52.16,52.16,09:34 AM,52.16,09:34,11214.4,6,52.16,215
2019-11-01,52.151,52.175,52.175,09:35 AM,52.135,09:35,281774.985,34,52.17,5403
2019-11-01,52.107,52.085,52.165,09:36 AM,52.075,09:36,117761.915,14,52.165,2260
2019-11-01,52.073,52.04,52.095,09:37 AM,52.04,09:37,142368.94,15,52.09,2734
2019-11-01,52.041000000000004,52.055,52.06,09:38 AM,52.02,09:38,98878.5,8,52.04,1900
2019-11-01,52.03,52.05,52.055,09:39 AM,52.01,09:39,130075.0,12,52.055,2500
2019-11-01,52.037,52.035,52.045,09:40 AM,52.035,09:40,76546.995,6,52.035,1471
2019-11-01,52.028999999999996,52.01,52.04,09:41 AM,52.01,09:41,109262.0,9,52.035,2100
2019-11-01,52.012,52.005,52.03,09:42 AM,52.005,09:42,36408.5,7,52.03,700
2019-11-01,52.008,52.005,52.01,09:43 AM,52.005,09:43,10401.5,2,52.01,200
2019-11-01,52.005,52.01,52.01,09:44 AM,51.995,09:44,31411.0,6,51.995,604
2019-11-01,51.995,51.995,51.995,09:45 AM,51.995,09:45,5199.5,1,51.995,100
2019-11-01,52.0,52.0,52.0,09:46 AM,51.985,09:46,5303.97,2,51.985,102
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,52.0,51.985,52.005,09:48 AM,51.985,09:48,10503.97,3,52.005,202
2019-11-01,51.99800000000001,52.0,52.0,09:49 AM,51.98,09:49,5927.795,4,51.98,114
2019-11-01,51.97,51.97,51.97,09:50 AM,51.97,09:50,5300.94,2,51.97,102
2019-11-01,51.965,51.965,51.965,09:51 AM,51.965,09:51,10393.0,1,51.965,200
2019-11-01,51.971000000000004,51.975,51.975,09:52 AM,51.96,09:52,93496.54,10,51.96,1799
2019-11-01,51.97,51.995,52.0,09:53 AM,51.955,09:53,76032.235,11,51.975,1463
2019-11-01,52.0,52.0,52.01,09:54 AM,51.995,09:54,32864.0,9,52.0,632
2019-11-01,52.081,52.11,52.11,09:55 AM,52.04,09:55,136817.2,7,52.045,2627
2019-11-01,52.085,52.085,52.085,09:56 AM,52.085,09:56,15625.5,7,52.085,300
2019-11-01,52.11,52.11,52.11,09:57 AM,52.11,09:57,5211.0,1,52.11,100
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,52.085,52.085,52.085,09:59 AM,52.085,09:59,208.34,1,52.085,4
2019-11-01,52.026,52.045,52.06,10 AM,51.915,10:00,90890.005,13,52.025,1747
2019-11-01,52.042,52.035,52.045,10:01 AM,52.035,10:01,20817.0,2,52.045,400
2019-11-01,52.1,52.12,52.12,10:02 AM,52.095,10:02,26050.02,5,52.1,500
2019-11-01,52.159,52.18,52.18,10:03 AM,52.135,10:03,47569.365,6,52.14,912
2019-11-01,52.17,52.18,52.18,10:04 AM,52.155,10:04,73820.03,10,52.16,1415
2019-11-01,52.178999999999995,52.195,52.2,10:05 AM,52.155,10:05,129246.675,7,52.175,2477
2019-11-01,52.185,52.185,52.185,10:06 AM,52.185,10:06,5218.5,1,52.185,100
2019-11-01,52.178000000000004,52.175,52.19,10:07 AM,52.175,10:07,48890.475,8,52.185,937
2019-11-01,52.183,52.195,52.195,10:08 AM,52.175,10:08,204766.39,22,52.175,3924
2019-11-01,52.185,52.19,52.19,10:09 AM,52.185,10:09,106405.83,9,52.185,2039
2019-11-01,52.218,52.215,52.225,10:10 AM,52.215,10:10,67884.0,13,52.225,1300
2019-11-01,52.231,52.265,52.265,10:11 AM,52.21,10:11,42568.3,9,52.21,815
2019-11-01,52.262,52.265,52.265,10:12 AM,52.255,10:12,120202.5,20,52.255,2300
2019-11-01,52.253,52.27,52.27,10:13 AM,52.24,10:13,15676.0,4,52.24,300
2019-11-01,52.25899999999999,52.27,52.27,10:14 AM,52.25,10:14,20955.77,5,52.25,401
2019-11-01,52.273,52.27,52.275,10:15 AM,52.27,10:15,15682.0,3,52.275,300
2019-11-01,52.25,52.255,52.255,10:16 AM,52.245,10:16,10450.0,2,52.245,200
2019-11-01,52.263999999999996,52.26,52.265,10:17 AM,52.255,10:17,21898.43,6,52.265,419
2019-11-01,52.255,52.23,52.265,10:18 AM,52.23,10:18,67931.5,9,52.255,1300
2019-11-01,52.26,52.245,52.26,10:19 AM,52.245,10:19,20956.245,5,52.26,401
2019-11-01,52.24800000000001,52.245,52.265,10:20 AM,52.245,10:20,47023.0,8,52.265,900
2019-11-01,52.196999999999996,52.19,52.205,10:21 AM,52.19,10:21,21765.985,5,52.2,417
2019-11-01,52.198,52.195,52.215,10:22 AM,52.19,10:22,31579.55,7,52.195,605
2019-11-01,52.218999999999994,52.23,52.23,10:23 AM,52.21,10:23,35404.48,8,52.21,678
2019-11-01,52.225,52.24,52.24,10:24 AM,52.21,10:24,26112.5,5,52.22,500
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,52.205,52.205,52.205,10:26 AM,52.205,10:26,5220.5,1,52.205,100
2019-11-01,52.191,52.185,52.205,10:27 AM,52.18,10:27,57462.19,12,52.205,1101
2019-11-01,52.161,52.16,52.17,10:28 AM,52.155,10:28,20864.5,4,52.17,400
2019-11-01,52.181000000000004,52.19,52.19,10:29 AM,52.175,10:29,36526.5,8,52.185,700
2019-11-01,52.199,52.215,52.215,10:30 AM,52.19,10:30,28500.74,6,52.19,546
2019-11-01,52.201,52.205,52.205,10:31 AM,52.2,10:31,26100.5,5,52.2,500
2019-11-01,52.224,52.23,52.23,10:32 AM,52.22,10:32,16711.6,4,52.23,320
2019-11-01,52.23,52.235,52.235,10:33 AM,52.23,10:33,5693.08,3,52.23,109
2019-11-01,52.236999999999995,52.24,52.24,10:34 AM,52.23,10:34,20895.0,4,52.23,400
2019-11-01,52.227,52.225,52.23,10:35 AM,52.22,10:35,47004.0,9,52.225,900
2019-11-01,52.208,52.21,52.21,10:36 AM,52.2,10:36,41766.5,8,52.21,800
2019-11-01,52.19600000000001,52.2,52.205,10:37 AM,52.195,10:37,260460.15,29,52.2,4990
2019-11-01,52.207,52.23,52.23,10:38 AM,52.205,10:38,15818.69,4,52.205,303
2019-11-01,52.216,52.215,52.23,10:39 AM,52.21,10:39,52059.81,7,52.22,997
2019-11-01,52.205,52.2,52.21,10:40 AM,52.2,10:40,11276.2,3,52.21,216
2019-11-01,52.2,52.2,52.215,10:41 AM,52.195,10:41,121835.97,21,52.2,2334
2019-11-01,52.227,52.235,52.235,10:42 AM,52.22,10:42,36559.0,7,52.22,700
2019-11-01,52.244,52.245,52.245,10:43 AM,52.23,10:43,255994.0,17,52.23,4900
2019-11-01,52.225,52.21,52.24,10:44 AM,52.205,10:44,141112.94,25,52.24,2702
2019-11-01,52.2,52.195,52.21,10:45 AM,52.195,10:45,62640.0,7,52.205,1200
2019-11-01,52.208,52.225,52.225,10:46 AM,52.18,10:46,31846.7,8,52.18,610
2019-11-01,52.218999999999994,52.215,52.225,10:47 AM,52.215,10:47,52219.0,9,52.225,1000
2019-11-01,52.198,52.195,52.205,10:48 AM,52.195,10:48,110817.215,11,52.205,2123
2019-11-01,52.19300000000001,52.17,52.2,10:49 AM,52.17,10:49,78445.665,12,52.195,1503
2019-11-01,52.172,52.15,52.18,10:50 AM,52.15,10:50,18103.83,7,52.165,347
2019-11-01,52.155,52.155,52.155,10:51 AM,52.155,10:51,5215.5,1,52.155,100
2019-11-01,52.144,52.15,52.15,10:52 AM,52.135,10:52,210088.85,27,52.145,4029
2019-11-01,52.157,52.165,52.165,10:53 AM,52.155,10:53,41725.5,8,52.155,800
