date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,153.5,153.5,153.5,09:30 AM,153.5,09:30,30700.0,1.0,153.5,200.0
2019-11-01,,,,09:31 AM,,09:31,0.0,0.0,,0.0
2019-11-01,,,,09:32 AM,,09:32,0.0,0.0,,0.0
2019-11-01,,,,09:33 AM,,09:33,0.0,0.0,,0.0
2019-11-01,,,,09:34 AM,,09:34,0.0,0.0,,0.0
2019-11-01,152.542,152.32,152.69,09:35 AM,152.32,09:35,61017.0,4.0,152.69,400.0
2019-11-01,152.58,152.58,152.58,09:36 AM,152.58,09:36,15258.0,1.0,152.58,100.0
2019-11-01,,,,09:37 AM,,09:37,0.0,0.0,,0.0
2019-11-01,,,,09:38 AM,,09:38,0.0,0.0,,0.0
2019-11-01,152.26,152.26,152.26,09:39 AM,152.26,09:39,15226.0,1.0,152.26,100.0
2019-11-01,,,,09:40 AM,,09:40,0.0,0.0,,0.0
2019-11-01,,,,09:41 AM,,09:41,0.0,0.0,,0.0
2019-11-01,152.115,152.115,152.115,09:42 AM,152.115,09:42,15211.5,1.0,152.115,100.0
2019-11-01,152.523,152.6,152.6,09:43 AM,152.285,09:43,66500.1,3.0,152.285,436.0
2019-11-01,,,,09:44 AM,,09:44,0.0,0.0,,0.0
2019-11-01,,,,09:45 AM,,09:45,0.0,0.0,,0.0
2019-11-01,152.585,152.585,152.585,09:46 AM,152.585,09:46,15258.5,1.0,152.585,100.0
2019-11-01,152.355,152.355,152.355,09:47 AM,152.355,09:47,15235.5,1.0,152.355,100.0
2019-11-01,,,,09:48 AM,,09:48,0.0,0.0,,0.0
2019-11-01,151.98,151.98,151.98,09:49 AM,151.98,09:49,15198.0,1.0,151.98,100.0
2019-11-01,,,,09:50 AM,,09:50,0.0,0.0,,0.0
2019-11-01,152.12,152.12,152.12,09:51 AM,152.12,09:51,15212.0,1.0,152.12,100.0
2019-11-01,152.127,152.22,152.22,09:52 AM,152.035,09:52,30425.5,2.0,152.035,200.0
2019-11-01,,,,09:53 AM,,09:53,0.0,0.0,,0.0
2019-11-01,152.32,152.27,152.37,09:54 AM,152.27,09:54,30464.0,2.0,152.37,200.0
2019-11-01,,,,09:55 AM,,09:55,0.0,0.0,,0.0
2019-11-01,,,,09:56 AM,,09:56,0.0,0.0,,0.0
2019-11-01,,,,09:57 AM,,09:57,0.0,0.0,,0.0
2019-11-01,152.10299999999995,152.3,152.32,09:58 AM,152.025,09:58,334626.0,8.0,152.025,2200.0
2019-11-01,152.23,152.23,152.23,09:59 AM,152.23,09:59,15223.0,1.0,152.23,100.0
2019-11-01,152.14,152.14,152.14,10 AM,152.14,10:00,15214.0,1.0,152.14,100.0
2019-11-01,152.18,152.18,152.18,10:01 AM,152.18,10:01,15218.0,1.0,152.18,100.0
2019-11-01,152.47,152.67,152.67,10:02 AM,152.4,10:02,31713.66,4.0,152.4,208.0
2019-11-01,152.743,152.865,152.865,10:03 AM,152.675,10:03,198566.5,8.0,152.675,1300.0
2019-11-01,152.782,152.78,152.79,10:04 AM,152.78,10:04,18333.8,3.0,152.79,120.0
2019-11-01,153.042,153.04,153.18,10:05 AM,152.905,10:05,38413.44,5.0,152.905,251.0
