date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,122.88,122.88,122.88,09:35 AM,122.88,09:35,12288.0,1,122.88,100
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,122.94200000000001,122.88,122.96,09:37 AM,122.815,09:37,16843.01,9,122.96,137
2019-11-01,123.001,122.96,123.01,09:38 AM,122.955,09:38,15006.11,4,123.01,122
2019-11-01,122.87299999999999,122.86,122.985,09:39 AM,122.86,09:39,1228.725,2,122.985,10
2019-11-01,122.639,122.33,122.86,09:40 AM,122.33,09:40,25754.16,6,122.86,210
2019-11-01,122.08200000000001,122.04,122.34,09:41 AM,122.0,09:41,29543.885,17,122.34,242
2019-11-01,122.025,121.96,122.085,09:42 AM,121.96,09:42,1098.225,8,122.035,9
2019-11-01,121.883,121.93,121.93,09:43 AM,121.785,09:43,731.3,3,121.785,6
2019-11-01,121.79,121.8,121.8,09:44 AM,121.66,09:44,13762.31,7,121.785,113
2019-11-01,122.01100000000001,122.025,122.025,09:45 AM,122.01,09:45,1220.115,2,122.01,10
2019-11-01,121.984,121.99,121.99,09:46 AM,121.98,09:46,1585.79,3,121.98,13
2019-11-01,122.12,122.12,122.12,09:47 AM,122.12,09:47,732.72,1,122.12,6
2019-11-01,122.11,122.11,122.11,09:48 AM,122.11,09:48,122.11,1,122.11,1
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,121.845,121.845,121.845,09:51 AM,121.845,09:51,121.845,1,121.845,1
2019-11-01,121.84299999999999,121.84,121.845,09:52 AM,121.83,09:52,2680.55,3,121.845,22
2019-11-01,121.825,121.85,121.85,09:53 AM,121.82,09:53,36913.0,6,121.82,303
2019-11-01,121.88799999999999,121.855,121.915,09:54 AM,121.855,09:54,1218.88,3,121.915,10
2019-11-01,121.90299999999999,121.905,121.905,09:55 AM,121.9,09:55,487.61,2,121.9,4
2019-11-01,122.008,122.15,122.15,09:56 AM,121.91,09:56,37822.6,4,121.91,310
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,122.06,122.06,122.06,09:58 AM,122.06,09:58,3539.74,3,122.06,29
2019-11-01,122.109,122.11,122.11,09:59 AM,122.105,09:59,610.545,3,122.105,5
2019-11-01,121.98700000000001,121.975,122.01,10 AM,121.975,10:00,975.9,4,122.005,8
2019-11-01,121.948,121.95,121.95,10:01 AM,121.945,10:01,243.895,2,121.945,2
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,122.374,122.36,122.375,10:03 AM,122.36,10:03,3671.205,3,122.37,30
2019-11-01,122.089,121.955,122.16,10:04 AM,121.955,10:04,976.715,4,122.16,8
2019-11-01,122.086,122.01,122.165,10:05 AM,122.01,10:05,36748.01,4,122.085,301
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,122.179,122.145,122.245,10:08 AM,122.145,10:08,1710.505,5,122.245,14
2019-11-01,122.04,122.04,122.04,10:09 AM,122.04,10:09,976.32,3,122.04,8
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,122.052,122.11,122.11,10:11 AM,122.0,10:11,49065.12,5,122.0,402
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,122.28,122.265,122.28,10:13 AM,122.265,10:13,12350.265,2,122.28,101
2019-11-01,122.24,122.24,122.24,10:14 AM,122.23,10:14,6356.46,2,122.23,52
2019-11-01,122.21,122.21,122.21,10:15 AM,122.21,10:15,244.42,1,122.21,2
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,121.9,121.9,121.9,10:17 AM,121.9,10:17,1340.9,1,121.9,11
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,121.6,121.6,121.6,10:21 AM,121.6,10:21,364.8,1,121.6,3
2019-11-01,121.397,121.39,121.565,10:22 AM,121.35,10:22,62640.985,9,121.565,516
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,121.35,121.35,121.35,10:24 AM,121.35,10:24,121.35,1,121.35,1
2019-11-01,121.38,121.355,121.38,10:25 AM,121.355,10:25,12987.625,4,121.38,107
2019-11-01,121.339,121.34,121.34,10:26 AM,121.33,10:26,13832.62,2,121.33,114
2019-11-01,121.265,121.265,121.265,10:27 AM,121.265,10:27,12126.5,1,121.265,100
2019-11-01,121.195,121.095,121.255,10:28 AM,121.095,10:28,4120.62,8,121.255,34
