date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,68.454,68.46,68.5,09:30 AM,68.395,09:30,58596.52,7,68.47,856
2019-11-01,68.40100000000001,68.53,68.53,09:31 AM,68.34,09:31,102602.0,7,68.375,1500
2019-11-01,68.497,68.62,68.62,09:32 AM,68.475,09:32,308236.5,11,68.61,4500
2019-11-01,68.452,68.37,68.555,09:33 AM,68.37,09:33,50106.59,6,68.555,732
2019-11-01,68.516,68.62,68.635,09:34 AM,68.37,09:34,80574.87,12,68.37,1176
2019-11-01,68.529,68.55,68.56,09:35 AM,68.5,09:35,36731.755,6,68.535,536
2019-11-01,68.528,68.46,68.59,09:36 AM,68.46,09:36,226143.5,7,68.59,3300
2019-11-01,68.538,68.5,68.555,09:37 AM,68.45,09:37,152497.375,7,68.55,2225
2019-11-01,68.555,68.56,68.58,09:38 AM,68.53,09:38,58271.75,9,68.56,850
2019-11-01,68.597,68.65,68.65,09:39 AM,68.55,09:39,119563.76,20,68.555,1743
2019-11-01,68.702,68.7,68.73,09:40 AM,68.67,09:40,226510.225,27,68.68,3297
2019-11-01,68.69800000000001,68.675,68.72,09:41 AM,68.675,09:41,82438.0,12,68.705,1200
2019-11-01,68.624,68.655,68.66,09:42 AM,68.595,09:42,68624.5,9,68.64,1000
2019-11-01,68.643,68.65,68.65,09:43 AM,68.64,09:43,20593.0,3,68.64,300
2019-11-01,68.71600000000001,68.74,68.745,09:44 AM,68.63,09:44,128431.22,14,68.63,1869
2019-11-01,68.75399999999999,68.81,68.83,09:45 AM,68.745,09:45,2407283.05,28,68.755,35013
2019-11-01,68.771,68.73,68.825,09:46 AM,68.73,09:46,119110.77,16,68.825,1732
2019-11-01,68.707,68.675,68.725,09:47 AM,68.675,09:47,222952.715,15,68.72,3245
2019-11-01,68.661,68.64,68.685,09:48 AM,68.64,09:48,57743.965,10,68.685,841
2019-11-01,68.587,68.59,68.615,09:49 AM,68.555,09:49,84499.04,11,68.615,1232
2019-11-01,68.527,68.465,68.58,09:50 AM,68.465,09:50,72296.29,11,68.58,1055
2019-11-01,68.487,68.49,68.49,09:51 AM,68.485,09:51,14039.93,4,68.485,205
2019-11-01,68.471,68.525,68.525,09:52 AM,68.455,09:52,76550.8,15,68.475,1118
2019-11-01,68.51100000000001,68.51,68.56,09:53 AM,68.495,09:53,72210.74,9,68.56,1054
2019-11-01,68.528,68.58,68.58,09:54 AM,68.5,09:54,32345.36,8,68.51,472
2019-11-01,68.58,68.53,68.61,09:55 AM,68.53,09:55,20574.0,3,68.61,300
2019-11-01,68.495,68.495,68.51,09:56 AM,68.49,09:56,47398.835,11,68.51,692
2019-11-01,68.468,68.43,68.495,09:57 AM,68.43,09:57,35055.41,7,68.485,512
2019-11-01,68.39,68.34,68.41,09:58 AM,68.34,09:58,33169.015,7,68.4,485
2019-11-01,68.35,68.35,68.36,09:59 AM,68.335,09:59,82771.295,11,68.335,1211
2019-11-01,68.404,68.36,68.45,10 AM,68.35,10:00,137081.16,13,68.415,2004
2019-11-01,68.377,68.41,68.415,10:01 AM,68.35,10:01,71795.5,7,68.37,1050
2019-11-01,68.368,68.44,68.44,10:02 AM,68.32,10:02,68367.5,9,68.4,1000
2019-11-01,68.42,68.39,68.51,10:03 AM,68.39,10:03,35441.385,10,68.44,518
