date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,55.148,55.185,55.2,09:35 AM,55.07,09:35,17040.8,6,55.07,309
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,55.29,55.29,55.29,09:40 AM,55.29,09:40,5529.0,3,55.29,100
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,,,,09:43 AM,,09:43,0.0,0,,0
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,55.393,55.48,55.48,09:45 AM,55.35,09:45,16618.0,8,55.35,300
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,55.48,55.48,55.48,09:52 AM,55.48,09:52,5548.0,1,55.48,100
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,55.3,55.3,55.3,09:55 AM,55.3,09:55,5530.0,3,55.3,100
2019-11-01,,,,09:56 AM,,09:56,0.0,0,,0
2019-11-01,,,,09:57 AM,,09:57,0.0,0,,0
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,,,,10 AM,,10:00,0.0,0,,0
2019-11-01,55.265,55.27,55.27,10:01 AM,55.26,10:01,10776.65,2,55.26,195
2019-11-01,,,,10:02 AM,,10:02,0.0,0,,0
2019-11-01,55.33,55.33,55.33,10:03 AM,55.33,10:03,55.33,1,55.33,1
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,55.368,55.36,55.37,10:05 AM,55.36,10:05,24029.94,3,55.37,434
2019-11-01,,,,10:06 AM,,10:06,0.0,0,,0
2019-11-01,55.27,55.27,55.27,10:07 AM,55.27,10:07,5527.0,1,55.27,100
2019-11-01,55.27,55.27,55.27,10:08 AM,55.27,10:08,1658.1,1,55.27,30
2019-11-01,55.17,55.17,55.17,10:09 AM,55.17,10:09,275.85,1,55.17,5
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,55.26,55.26,55.26,10:12 AM,55.26,10:12,5526.0,1,55.26,100
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,,,,10:16 AM,,10:16,0.0,0,,0
2019-11-01,55.21100000000001,55.21,55.22,10:17 AM,55.21,10:17,5907.54,2,55.22,107
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,55.27,55.27,55.27,10:19 AM,55.27,10:19,5527.0,1,55.27,100
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,55.35,55.35,55.35,10:24 AM,55.35,10:24,1107.0,1,55.35,20
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,55.385,55.385,55.385,10:27 AM,55.385,10:27,5538.5,1,55.385,100
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,55.42,55.42,55.42,10:30 AM,55.42,10:30,11084.0,2,55.42,200
2019-11-01,55.465,55.465,55.465,10:31 AM,55.465,10:31,2052.205,1,55.465,37
2019-11-01,55.52,55.52,55.52,10:32 AM,55.52,10:32,5552.0,1,55.52,100
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,55.44,55.44,55.44,10:34 AM,55.44,10:34,11088.0,2,55.44,200
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,55.56399999999999,55.57,55.57,10:37 AM,55.54,10:37,6834.42,2,55.54,123
2019-11-01,,,,10:38 AM,,10:38,0.0,0,,0
