date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,77.6,77.72,77.72,09:30 AM,77.42,09:30,38877.72,2,77.42,501
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,78.825,78.825,78.825,09:32 AM,78.825,09:32,2522.4,1,78.825,32
2019-11-01,78.555,78.55,78.56,09:33 AM,78.55,09:33,15711.0,2,78.56,200
2019-11-01,78.405,78.405,78.405,09:34 AM,78.405,09:34,7840.5,1,78.405,100
2019-11-01,78.112,78.23,78.23,09:35 AM,78.04,09:35,46867.0,5,78.09,600
2019-11-01,78.171,77.99,78.175,09:36 AM,77.99,09:36,8051.57,3,78.09,103
2019-11-01,,,,09:37 AM,,09:37,0.0,0,,0
2019-11-01,78.012,78.06,78.06,09:38 AM,77.95,09:38,48445.45,7,78.03,621
2019-11-01,78.22,78.2,78.245,09:39 AM,78.14,09:39,164965.205,7,78.14,2109
2019-11-01,78.25399999999998,78.25,78.29,09:40 AM,78.21,09:40,146178.68,9,78.21,1868
2019-11-01,78.21300000000002,78.09,78.29,09:41 AM,78.09,09:41,103554.66,11,78.24,1324
2019-11-01,78.046,78.06,78.09,09:42 AM,78.025,09:42,46827.5,6,78.025,600
2019-11-01,78.29899999999998,78.32,78.36,09:43 AM,78.23,09:43,234898.5,21,78.23,3000
2019-11-01,78.421,78.42,78.45,09:44 AM,78.42,09:44,7998.9,2,78.45,102
2019-11-01,78.469,78.49,78.495,09:45 AM,78.425,09:45,94163.5,9,78.425,1200
2019-11-01,78.618,78.685,78.72,09:46 AM,78.57,09:46,102203.5,12,78.57,1300
2019-11-01,78.618,78.63,78.67,09:47 AM,78.58,09:47,118084.3,16,78.67,1502
2019-11-01,78.557,78.48,78.65,09:48 AM,78.46,09:48,102517.36,13,78.605,1305
2019-11-01,78.431,78.43,78.5,09:49 AM,78.38,09:49,110431.44,13,78.47,1408
2019-11-01,78.37100000000002,78.39,78.39,09:50 AM,78.29,09:50,82054.31,11,78.38,1047
2019-11-01,78.418,78.445,78.455,09:51 AM,78.34,09:51,125625.83,13,78.34,1602
2019-11-01,78.203,78.18,78.34,09:52 AM,78.16,09:52,54742.0,7,78.34,700
2019-11-01,78.183,78.145,78.225,09:53 AM,78.125,09:53,86001.5,11,78.225,1100
2019-11-01,78.227,78.22,78.23,09:54 AM,78.22,09:54,23468.0,4,78.23,300
2019-11-01,78.303,78.32,78.33,09:55 AM,78.255,09:55,78459.64,9,78.26,1002
2019-11-01,78.365,78.44,78.44,09:56 AM,78.29,09:56,15673.0,2,78.29,200
2019-11-01,78.742,78.915,78.915,09:57 AM,78.575,09:57,86616.5,7,78.575,1100
2019-11-01,78.935,79.02,79.02,09:58 AM,78.88,09:58,31574.0,3,78.92,400
2019-11-01,78.806,78.88,78.88,09:59 AM,78.755,09:59,40427.34,7,78.86,513
2019-11-01,78.65100000000002,78.71,78.74,10 AM,78.575,10:00,82897.8,13,78.74,1054
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,78.71300000000002,78.68,78.73,10:02 AM,78.68,10:02,66905.75,8,78.73,850
2019-11-01,78.915,78.915,78.915,10:03 AM,78.915,10:03,7891.5,1,78.915,100
2019-11-01,78.865,78.865,78.865,10:04 AM,78.865,10:04,7886.5,1,78.865,100
2019-11-01,78.9,78.94,78.94,10:05 AM,78.86,10:05,39450.0,5,78.86,500
2019-11-01,78.98,78.98,78.98,10:06 AM,78.98,10:06,7898.0,1,78.98,100
2019-11-01,78.942,78.93,78.98,10:07 AM,78.93,10:07,31734.9,4,78.95,402
2019-11-01,78.977,79.14,79.14,10:08 AM,78.95,10:08,100932.86,12,78.95,1278
2019-11-01,79.219,79.225,79.225,10:09 AM,79.2,10:09,61632.05,2,79.2,778
2019-11-01,79.07,79.07,79.07,10:10 AM,79.07,10:10,7907.0,1,79.07,100
2019-11-01,79.271,79.285,79.285,10:11 AM,79.27,10:11,454776.675,3,79.27,5737
2019-11-01,79.257,79.22,79.32,10:12 AM,79.22,10:12,63406.0,5,79.32,800
2019-11-01,78.955,78.87,79.09,10:13 AM,78.87,10:13,132013.36,17,79.09,1672
2019-11-01,78.888,78.915,78.915,10:14 AM,78.87,10:14,31555.0,4,78.895,400
2019-11-01,79.13600000000002,79.105,79.165,10:15 AM,79.09,10:15,92827.045,6,79.09,1173
2019-11-01,79.203,79.19,79.215,10:16 AM,79.19,10:16,15840.5,2,79.215,200
2019-11-01,79.186,79.1,79.27,10:17 AM,79.09,10:17,139288.49,12,79.19,1759
2019-11-01,79.02199999999998,78.955,79.09,10:18 AM,78.955,10:18,47413.5,5,79.09,600
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,79.13600000000002,79.175,79.175,10:20 AM,79.05,10:20,23740.72,4,79.09,300
2019-11-01,79.112,79.02,79.14,10:21 AM,79.02,10:21,34572.18,4,79.14,437
2019-11-01,78.964,78.95,79.0,10:22 AM,78.95,10:22,55275.0,6,79.0,700
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,79.07,79.07,79.09,10:24 AM,78.99,10:24,284495.97,13,79.0,3598
2019-11-01,79.146,79.12,79.15,10:25 AM,79.12,10:25,59755.25,2,79.15,755
2019-11-01,79.11,79.11,79.11,10:26 AM,79.11,10:26,7911.0,1,79.11,100
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,79.12,79.12,79.12,10:28 AM,79.12,10:28,44861.04,1,79.12,567
2019-11-01,79.14699999999998,79.145,79.15,10:29 AM,79.145,10:29,15829.5,2,79.15,200
2019-11-01,79.15899999999998,79.16,79.16,10:30 AM,79.145,10:30,17335.755,4,79.145,219
2019-11-01,79.171,79.165,79.175,10:31 AM,79.16,10:31,76083.175,5,79.175,961
2019-11-01,79.013,78.995,79.09,10:32 AM,78.995,10:32,376023.055,23,79.09,4759
2019-11-01,79.03,79.035,79.035,10:33 AM,78.995,10:33,69546.3,4,78.995,880
2019-11-01,79.015,78.93,79.075,10:34 AM,78.93,10:34,143175.04,8,79.075,1812
2019-11-01,78.93,78.93,78.93,10:35 AM,78.93,10:35,7893.0,1,78.93,100
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,79.007,78.935,79.03,10:37 AM,78.935,10:37,60598.01,3,79.03,767
