date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,,,,09:30 AM,,09:30,0.0,0,,0
2019-11-01,,,,09:31 AM,,09:31,0.0,0,,0
2019-11-01,,,,09:32 AM,,09:32,0.0,0,,0
2019-11-01,,,,09:33 AM,,09:33,0.0,0,,0
2019-11-01,,,,09:34 AM,,09:34,0.0,0,,0
2019-11-01,,,,09:35 AM,,09:35,0.0,0,,0
2019-11-01,,,,09:36 AM,,09:36,0.0,0,,0
2019-11-01,239.48,239.48,239.48,09:37 AM,239.48,09:37,15566.2,1,239.48,65
2019-11-01,,,,09:38 AM,,09:38,0.0,0,,0
2019-11-01,,,,09:39 AM,,09:39,0.0,0,,0
2019-11-01,,,,09:40 AM,,09:40,0.0,0,,0
2019-11-01,,,,09:41 AM,,09:41,0.0,0,,0
2019-11-01,,,,09:42 AM,,09:42,0.0,0,,0
2019-11-01,239.19,239.19,239.19,09:43 AM,239.19,09:43,239.19,1,239.19,1
2019-11-01,,,,09:44 AM,,09:44,0.0,0,,0
2019-11-01,,,,09:45 AM,,09:45,0.0,0,,0
2019-11-01,,,,09:46 AM,,09:46,0.0,0,,0
2019-11-01,,,,09:47 AM,,09:47,0.0,0,,0
2019-11-01,,,,09:48 AM,,09:48,0.0,0,,0
2019-11-01,,,,09:49 AM,,09:49,0.0,0,,0
2019-11-01,,,,09:50 AM,,09:50,0.0,0,,0
2019-11-01,,,,09:51 AM,,09:51,0.0,0,,0
2019-11-01,,,,09:52 AM,,09:52,0.0,0,,0
2019-11-01,,,,09:53 AM,,09:53,0.0,0,,0
2019-11-01,,,,09:54 AM,,09:54,0.0,0,,0
2019-11-01,,,,09:55 AM,,09:55,0.0,0,,0
2019-11-01,240.38,240.38,240.38,09:56 AM,240.38,09:56,24038.0,1,240.38,100
2019-11-01,240.14,240.14,240.14,09:57 AM,240.14,09:57,480.28,1,240.14,2
2019-11-01,,,,09:58 AM,,09:58,0.0,0,,0
2019-11-01,,,,09:59 AM,,09:59,0.0,0,,0
2019-11-01,240.52,240.52,240.52,10 AM,240.52,10:00,24052.0,1,240.52,100
2019-11-01,,,,10:01 AM,,10:01,0.0,0,,0
2019-11-01,240.47,240.47,240.47,10:02 AM,240.47,10:02,72141.0,3,240.47,300
2019-11-01,240.46200000000002,240.37,240.47,10:03 AM,240.37,10:03,96184.6,5,240.47,400
2019-11-01,,,,10:04 AM,,10:04,0.0,0,,0
2019-11-01,,,,10:05 AM,,10:05,0.0,0,,0
2019-11-01,241.0,241.0,241.0,10:06 AM,241.0,10:06,48200.0,2,241.0,200
2019-11-01,,,,10:07 AM,,10:07,0.0,0,,0
2019-11-01,,,,10:08 AM,,10:08,0.0,0,,0
2019-11-01,241.18,241.18,241.18,10:09 AM,241.18,10:09,24118.0,1,241.18,100
2019-11-01,,,,10:10 AM,,10:10,0.0,0,,0
2019-11-01,,,,10:11 AM,,10:11,0.0,0,,0
2019-11-01,,,,10:12 AM,,10:12,0.0,0,,0
2019-11-01,,,,10:13 AM,,10:13,0.0,0,,0
2019-11-01,,,,10:14 AM,,10:14,0.0,0,,0
2019-11-01,,,,10:15 AM,,10:15,0.0,0,,0
2019-11-01,240.78,240.78,240.78,10:16 AM,240.78,10:16,5537.94,1,240.78,23
2019-11-01,,,,10:17 AM,,10:17,0.0,0,,0
2019-11-01,,,,10:18 AM,,10:18,0.0,0,,0
2019-11-01,,,,10:19 AM,,10:19,0.0,0,,0
2019-11-01,,,,10:20 AM,,10:20,0.0,0,,0
2019-11-01,,,,10:21 AM,,10:21,0.0,0,,0
2019-11-01,,,,10:22 AM,,10:22,0.0,0,,0
2019-11-01,,,,10:23 AM,,10:23,0.0,0,,0
2019-11-01,,,,10:24 AM,,10:24,0.0,0,,0
2019-11-01,,,,10:25 AM,,10:25,0.0,0,,0
2019-11-01,,,,10:26 AM,,10:26,0.0,0,,0
2019-11-01,,,,10:27 AM,,10:27,0.0,0,,0
2019-11-01,,,,10:28 AM,,10:28,0.0,0,,0
2019-11-01,,,,10:29 AM,,10:29,0.0,0,,0
2019-11-01,,,,10:30 AM,,10:30,0.0,0,,0
2019-11-01,,,,10:31 AM,,10:31,0.0,0,,0
2019-11-01,240.07,240.07,240.07,10:32 AM,240.07,10:32,24007.0,1,240.07,100
2019-11-01,,,,10:33 AM,,10:33,0.0,0,,0
2019-11-01,,,,10:34 AM,,10:34,0.0,0,,0
2019-11-01,,,,10:35 AM,,10:35,0.0,0,,0
2019-11-01,,,,10:36 AM,,10:36,0.0,0,,0
2019-11-01,,,,10:37 AM,,10:37,0.0,0,,0
2019-11-01,240.005,239.695,240.1,10:38 AM,239.695,10:38,55681.24,3,240.1,232
2019-11-01,,,,10:39 AM,,10:39,0.0,0,,0
2019-11-01,,,,10:40 AM,,10:40,0.0,0,,0
2019-11-01,,,,10:41 AM,,10:41,0.0,0,,0
2019-11-01,,,,10:42 AM,,10:42,0.0,0,,0
2019-11-01,,,,10:43 AM,,10:43,0.0,0,,0
