date,average,close,high,label,low,minute,notional,numberOfTrades,open,volume
2019-11-01,128.869,128.86,128.89,09:30 AM,128.86,09:30,77321.5,6.0,128.89,600.0
2019-11-01,129.04,129.04,129.04,09:31 AM,129.04,09:31,25808.0,2.0,129.04,200.0
2019-11-01,129.13,129.13,129.13,09:32 AM,129.13,09:32,25826.0,1.0,129.13,200.0
2019-11-01,129.06,129.06,129.06,09:33 AM,129.06,09:33,12906.0,1.0,129.06,100.0
2019-11-01,129.05,128.97,129.09,09:34 AM,128.97,09:34,38715.0,3.0,129.09,300.0
2019-11-01,128.95,128.88,129.025,09:35 AM,128.84,09:35,26305.86,4.0,129.025,204.0
2019-11-01,128.98,128.98,128.98,09:36 AM,128.98,09:36,12898.0,2.0,128.98,100.0
2019-11-01,129.11,129.11,129.11,09:37 AM,129.11,09:37,12911.0,1.0,129.11,100.0
2019-11-01,129.035,129.035,129.035,09:38 AM,129.035,09:38,52646.28,3.0,129.035,408.0
2019-11-01,,,,09:39 AM,,09:39,0.0,0.0,,0.0
2019-11-01,128.92,128.96,128.96,09:40 AM,128.91,09:40,26299.75,4.0,128.93,204.0
2019-11-01,128.859,128.835,128.96,09:41 AM,128.835,09:41,14689.915,4.0,128.96,114.0
2019-11-01,128.833,128.875,128.875,09:42 AM,128.79,09:42,25766.5,3.0,128.79,200.0
2019-11-01,128.874,128.88,128.88,09:43 AM,128.78,09:43,13918.36,3.0,128.78,108.0
2019-11-01,128.9,128.9,128.9,09:44 AM,128.9,09:44,25780.0,2.0,128.9,200.0
2019-11-01,,,,09:45 AM,,09:45,0.0,0.0,,0.0
2019-11-01,128.75,128.75,128.75,09:46 AM,128.75,09:46,12875.0,1.0,128.75,100.0
2019-11-01,128.857,128.915,128.915,09:47 AM,128.81,09:47,64428.5,5.0,128.81,500.0
2019-11-01,128.93,128.93,128.93,09:48 AM,128.93,09:48,12893.0,1.0,128.93,100.0
2019-11-01,128.78,128.78,128.78,09:49 AM,128.78,09:49,12878.0,1.0,128.78,100.0
2019-11-01,128.714,128.76,128.76,09:50 AM,128.695,09:50,70277.765,4.0,128.72,546.0
2019-11-01,128.755,128.755,128.755,09:51 AM,128.755,09:51,12875.5,1.0,128.755,100.0
2019-11-01,128.749,128.755,128.77,09:52 AM,128.74,09:52,27037.2,3.0,128.77,210.0
2019-11-01,128.845,128.845,128.845,09:53 AM,128.845,09:53,13399.88,2.0,128.845,104.0
2019-11-01,128.965,129.07,129.07,09:54 AM,128.93,09:54,128965.5,6.0,128.94,1000.0
2019-11-01,128.93,128.93,128.93,09:55 AM,128.93,09:55,12893.0,1.0,128.93,100.0
2019-11-01,128.88,128.88,128.88,09:56 AM,128.88,09:56,12888.0,1.0,128.88,100.0
2019-11-01,128.84,128.84,128.84,09:57 AM,128.84,09:57,12884.0,1.0,128.84,100.0
2019-11-01,128.743,128.745,128.745,09:58 AM,128.73,09:58,15191.64,2.0,128.73,118.0
2019-11-01,,,,09:59 AM,,09:59,0.0,0.0,,0.0
2019-11-01,,,,10 AM,,10:00,0.0,0.0,,0.0
2019-11-01,128.77,128.77,128.77,10:01 AM,128.77,10:01,12877.0,1.0,128.77,100.0
2019-11-01,,,,10:02 AM,,10:02,0.0,0.0,,0.0
2019-11-01,128.78,128.79,128.79,10:03 AM,128.77,10:03,25756.0,2.0,128.77,200.0
2019-11-01,128.735,128.735,128.735,10:04 AM,128.735,10:04,130408.555,1.0,128.735,1013.0
2019-11-01,,,,10:05 AM,,10:05,0.0,0.0,,0.0
2019-11-01,,,,10:06 AM,,10:06,0.0,0.0,,0.0
2019-11-01,,,,10:07 AM,,10:07,0.0,0.0,,0.0
2019-11-01,128.44,128.44,128.44,10:08 AM,128.44,10:08,5266.04,1.0,128.44,41.0
2019-11-01,128.455,128.47,128.47,10:09 AM,128.44,10:09,25691.0,2.0,128.44,200.0
2019-11-01,128.38,128.38,128.38,10:10 AM,128.38,10:10,18486.72,1.0,128.38,144.0
2019-11-01,128.33,128.34,128.34,10:11 AM,128.31,10:11,38499.0,3.0,128.31,300.0
2019-11-01,128.317,128.3,128.335,10:12 AM,128.3,10:12,25663.5,2.0,128.335,200.0
2019-11-01,128.247,128.215,128.31,10:13 AM,128.215,10:13,38474.0,3.0,128.31,300.0
2019-11-01,128.233,128.3,128.3,10:14 AM,128.2,10:14,38470.0,2.0,128.2,300.0
